session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5f9fd9f6e4579e00099c12eb,5cd1d1f7db7024000195cc75,AWAITING REVIEW,2020-11-02 10:05:42.875000,2020-11-02 10:07:19.539000,96.664,33,378,3,99,,6AB555FF,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,Yes
5f9fdddeeb78640104c749fc,5e2eb30e270214000b247d1b,AWAITING REVIEW,2020-11-02 10:22:22.402000,2020-11-02 10:24:08.707000,106.305,28,185,0,100,,6AB555FF,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Male,Yes
5f9fe371d1a67e01fd6741bd,5f58fae91feaa10c5607d684,AWAITING REVIEW,2020-11-02 10:46:14.531000,2020-11-02 10:49:56.024000,221.493,32,12,0,100,,6AB555FF,United Kingdom,United Kingdom,Other,,English,United Kingdom,Female,Yes
5f9fe3aeeae0a801ad4de2c6,598b4594474b9200017e0a77,AWAITING REVIEW,2020-11-02 10:47:10.567000,2020-11-02 10:50:24.561000,193.994,33,329,11,96,,6AB555FF,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,Yes
5f9fe3cbfe022701cf36b68f,5deeae4afe675754baef331c,AWAITING REVIEW,2020-11-02 10:47:41.255000,2020-11-02 10:49:23.185000,101.93,20,105,1,99,,6AB555FF,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,Yes
5f9fe3db60575c0154f844df,58a609cbef58a9000119c473,AWAITING REVIEW,2020-11-02 10:48:01.145000,2020-11-02 10:50:32.678000,151.533,30,309,1,100,,6AB555FF,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Male,Yes
5f9fe3ea36d8b001f9796cd3,5e7b5dd2e47a3d153c6329a8,AWAITING REVIEW,2020-11-02 10:48:09.983000,2020-11-02 10:51:17.768000,187.785,28,124,2,99,,6AB555FF,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,Yes
5f9fe424cc7d1001ff1765fe,5f26b57a60644b4198c9d5e9,AWAITING REVIEW,2020-11-02 10:49:10.819000,2020-11-02 10:53:10.437000,239.618,42,51,0,100,,6AB555FF,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,Yes
5f9fe4359ddd9601b24ea23a,5f69ab16207a77000a7091d9,AWAITING REVIEW,2020-11-02 10:49:24.978000,2020-11-02 10:53:32.046000,247.068,24,18,0,100,,6AB555FF,United Kingdom,United Kingdom,Due to start a new job within the next month,,English,United Kingdom,Female,Yes
5f9fe47e6d681b02005c3309,5f452b74e5f76e0abc3b1288,AWAITING REVIEW,2020-11-02 10:50:41.809000,2020-11-02 10:58:05.388000,443.579,27,11,0,100,,6AB555FF,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,English,United Kingdom,Female,Yes
5f9fe488fb0c9a01b29e8b40,5d753f9afaed210001bf2ea0,AWAITING REVIEW,2020-11-02 10:50:51.661000,2020-11-02 10:53:55.757000,184.096,,132,3,98,,6AB555FF,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,Yes
5f9fe4981c20c001560ffe11,5eaa97d07eda6e01ec108107,AWAITING REVIEW,2020-11-02 10:51:06.799000,2020-11-02 10:54:02.027000,175.228,21,34,0,100,,6AB555FF,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,Yes
5f9fe4a31ced1001018ea37c,5ea721158bfde70ca3b31580,AWAITING REVIEW,2020-11-02 10:51:15.855000,2020-11-02 10:55:22.578000,246.723,27,43,0,100,,6AB555FF,Romania,United Kingdom,Full-Time,Romanian,"Romanian, English",Romania,Female,Yes
5f9fe4d31c20c001560ffe12,5f6b43d30f9f402495c8e5c2,AWAITING REVIEW,2020-11-02 10:52:18.482000,2020-11-02 10:56:00.433000,221.951,45,23,0,100,,6AB555FF,United Kingdom,,Full-Time,,English,United Kingdom,Female,Yes
5f9fe4f8fb448401a6632a21,5eff3f91e8a2850a5d017f9c,AWAITING REVIEW,2020-11-02 10:52:44.100000,2020-11-02 10:55:20.829000,156.729,27,44,2,96,,6AB555FF,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,Yes
5f9fe504a91d620150d8da27,5f47e34e733d7f230c29818c,AWAITING REVIEW,2020-11-02 10:52:54.701000,2020-11-02 10:56:05.093000,190.392,23,11,0,100,,6AB555FF,Italy,United Kingdom,Part-Time,,"English, Italian, Spanish, French",Italy,Male,Yes
5f9fe522fde81502509507f1,5e77e5cd23ab77079e09851a,AWAITING REVIEW,2020-11-02 10:53:29.605000,2020-11-02 10:55:55.098000,145.493,18,2,0,100,,6AB555FF,Malaysia,United Kingdom,Other,English,"Malay, English",Malaysia,Male,Yes
5f9fe57e3d9d48024c53794c,5f9efcb010da930d562c23d8,AWAITING REVIEW,2020-11-02 10:55:05.756000,2020-11-02 11:01:12.882000,367.126,19,0,0,100,,6AB555FF,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",,English,United Kingdom,Male,Yes
5f9fe59b3e33cb01a67a8a5b,5e7949a8dafa1e04a1ce49ce,AWAITING REVIEW,2020-11-02 10:55:25.217000,2020-11-02 10:57:56.413000,151.196,18,61,2,97,,6AB555FF,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,Yes
5f9fe5abcaa28601a93d3df1,5b8aef321a9fb60001e630c3,AWAITING REVIEW,2020-11-02 10:55:45.034000,2020-11-02 11:00:11.539000,266.505,31,254,1,100,,6AB555FF,Poland,United Kingdom,Full-Time,Polish,"English, Polish",Poland,Male,Yes
5f9fe62ff48f1d0252208b5d,5bfc998d6e6cd80001be4d5d,AWAITING REVIEW,2020-11-02 10:57:54.883000,2020-11-02 11:00:43.176000,168.293,21,135,1,99,,6AB555FF,United Kingdom,United Kingdom,Part-Time,English,"French, English",United Kingdom,Male,Yes
5f9fe63dec2e9e0200b28a8c,5f131bd4d2d19d031cbc7930,AWAITING REVIEW,2020-11-02 11:07:33.463000,2020-11-02 11:09:22.352000,108.889,22,7,0,100,,6AB555FF,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,Yes
5f9fe65ffe02270250f24503,5eb4208c076e4723c65d31dd,AWAITING REVIEW,2020-11-02 10:58:41.949000,2020-11-02 11:00:50.153000,128.204,31,72,2,98,,6AB555FF,United Kingdom,United Kingdom,Full-Time,English,"English, Urdu",United Kingdom,Female,Yes
5f9fe67b3523540255d23afe,5db33578fc2558000e7eae2b,AWAITING REVIEW,2020-11-02 10:59:10.583000,2020-11-02 11:01:13.986000,123.403,27,161,0,100,,6AB555FF,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,Yes
5f9fe690f820990257a6b67b,5f57f03892080132c51f93f6,AWAITING REVIEW,2020-11-02 10:59:27.990000,2020-11-02 11:03:00.088000,212.098,19,16,1,97,,6AB555FF,United Kingdom,United Kingdom,Due to start a new job within the next month,DATA EXPIRED,"English, French, Kurdish",United Kingdom,Female,Yes
5f9fe6b0cd7d07024e092a40,5f1727b477a05b0508da6b5e,AWAITING REVIEW,2020-11-02 11:00:00.063000,2020-11-02 11:06:32.637000,392.574,27,5,0,100,,6AB555FF,Nigeria,United Kingdom,Part-Time,English,English,Nigeria,Male,Yes
5f9fe6be48b671025d27b678,5f1a01e6cbf55f0d9a4235e9,AWAITING REVIEW,2020-11-02 11:00:14.099000,2020-11-02 11:02:20.768000,126.669,27,24,0,100,,6AB555FF,Nigeria,United Kingdom,Unemployed (and job seeking),English,English,Nigeria,Female,Yes
5f9fe6c0dc7a3902558aa84f,5e25e96fd9ab6083b581ed08,AWAITING REVIEW,2020-11-02 11:00:16.461000,2020-11-02 11:06:02.101000,345.64,22,102,0,100,,6AB555FF,Poland,United Kingdom,Other,Polish,"Polish, English",Poland,Female,Yes
5f9fe6e1d46e0502a9992d15,5e60f7b720abd6000eaf36ed,AWAITING REVIEW,2020-11-02 11:00:53.180000,2020-11-02 11:04:07.386000,194.206,37,116,0,100,,6AB555FF,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,Yes
5f9fe6e5a6ef5601fce44a6e,5f6e1ae429ca17301e49a192,AWAITING REVIEW,2020-11-02 11:00:53.478000,2020-11-02 11:03:00.232000,126.754,21,27,0,100,,6AB555FF,United Kingdom,United Kingdom,Other,,English,United Kingdom,Female,Yes
5f9fe6ed69aca801b0e90eb0,5c993037a103c80001451799,AWAITING REVIEW,2020-11-02 11:01:04.656000,2020-11-02 11:02:42.545000,97.889,29,182,2,100,,6AB555FF,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,Yes
5f9fe6f04f22f701a9917746,5dd0a6c48a3c5e17b0668046,AWAITING REVIEW,2020-11-02 11:01:10.786000,2020-11-02 11:03:35.616000,144.83,19,43,0,100,,6AB555FF,United Kingdom,United Kingdom,Part-Time,Bengali,"Bengali, English",United Kingdom,Female,Yes
5f9fe7043e33cb01f808f969,5e87c4c242701c45712423d9,AWAITING REVIEW,2020-11-02 11:01:24.367000,2020-11-02 11:03:14.261000,109.894,20,138,0,100,,6AB555FF,United Kingdom,United Kingdom,Other,English,"English, Japanese",United Kingdom,Female,Yes
5f9fe70589210101ab3a75ec,5efde4d18d99db26595128a1,AWAITING REVIEW,2020-11-02 11:01:39.251000,2020-11-02 11:03:13.856000,94.605,26,22,0,100,,6AB555FF,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,Yes
5f9fe70779a69d0252687806,5c6564046f2502000129f294,AWAITING REVIEW,2020-11-02 11:01:34.076000,2020-11-02 11:04:35.092000,181.016,22,88,0,101,,6AB555FF,United Kingdom,United Kingdom,Part-Time,English,"French, English",United Kingdom,Female,Yes
5f9fe724c7885d02563097b0,5e4bc4eb2e6151011d4ecb14,AWAITING REVIEW,2020-11-02 11:01:56.402000,2020-11-02 11:03:21.234000,84.832,19,9,0,100,,6AB555FF,Austria,United Kingdom,Unemployed (and job seeking),Serbian,"Serbian, German, English, Russian",Austria,Female,Yes
5f9fe73a8d5f8f0255cb3b8b,5f60d8caba1ab304f1fe19eb,AWAITING REVIEW,2020-11-02 11:02:18.960000,2020-11-02 11:04:44.199000,145.239,21,27,0,100,,6AB555FF,Czech Republic,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",,English,United Kingdom,Male,Yes
5f9fe73b842c7001fd86ab0f,5f6a4779c24e870dbd45d987,AWAITING REVIEW,2020-11-02 11:02:19.282000,2020-11-02 11:04:05.825000,106.543,24,17,1,99,,6AB555FF,Hong Kong,United Kingdom,Due to start a new job within the next month,,"Chinese, English",United Kingdom,Male,Yes
5f9fe73c028c5001fb258330,5f903ace3e172508575e9444,AWAITING REVIEW,2020-11-02 11:02:20.784000,2020-11-02 11:05:08.547000,167.763,23,0,0,100,,6AB555FF,United Kingdom,,Full-Time,,English,United Kingdom,Female,Yes
5f9fe747e154e801aaba7d37,5f7afb469e43b9015ef53b9f,AWAITING REVIEW,2020-11-02 11:02:34.480000,2020-11-02 11:05:00.570000,146.09,54,21,0,100,,6AB555FF,United Kingdom,United Kingdom,Other,,English,United Kingdom,Female,Yes
5f9fe75d22578b0200524423,5ec94c415b7920456c117cbe,AWAITING REVIEW,2020-11-02 11:02:53.072000,2020-11-02 11:05:50.304000,177.232,22,30,0,100,,6AB555FF,United Kingdom,,Part-Time,English,English,United Kingdom,Female,Yes
5f9fe76159dc5d01a8dbd68b,5f7f93b7e87e8815a7ad1bf1,AWAITING REVIEW,2020-11-02 11:02:57.961000,2020-11-02 11:05:06.131000,128.17,19,17,0,100,,6AB555FF,United Kingdom,United Kingdom,Other,,,United Kingdom,Female,Yes
5f9fe79b4cc73901a7657058,5e7772003da1362dc44fdea9,TIMED-OUT,2020-11-02 11:03:55.561000,,34773.726594,24,87,0,100,,,Romania,United Kingdom,Unemployed (and job seeking),Romanian,"Romanian, English, French",Romania,Female,Yes
5f9fe7e0125c5601a7e8e2a2,5e49a1928a2a3f000aa0b802,AWAITING REVIEW,2020-11-02 11:05:06.149000,2020-11-02 11:06:45.998000,99.849,29,117,0,100,,6AB555FF,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,Yes
5f9fe7fd333856020232e1b9,5ed80aebb1cd3b12cd6a9bb5,AWAITING REVIEW,2020-11-02 11:05:36.336000,2020-11-02 11:10:00.535000,264.199,23,37,0,100,,6AB555FF,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,Yes
5f9fe80ceac91401ad4af3c8,5e9631ad46d0e20b50650a6a,AWAITING REVIEW,2020-11-02 11:05:52.803000,2020-11-02 11:08:06.652000,133.849,19,143,1,100,,6AB555FF,India,United Kingdom,Unemployed (and job seeking),Malayalam,English,United Kingdom,Male,Yes
5f9fe81f673a73025079fe76,5aa926bdf053610001411bf8,AWAITING REVIEW,2020-11-02 11:06:09.428000,2020-11-02 11:10:14.060000,244.632,27,534,5,99,,6AB555FF,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,Yes
5f9fe84824a1d10256aaa795,5c23c651d9435800010b7e48,AWAITING REVIEW,2020-11-02 11:07:19.109000,2020-11-02 11:13:25.061000,365.952,40,390,1,100,,6AB555FF,Germany,United Kingdom,Part-Time,German,"English, German",Germany,Female,Yes
5f9fe84adc7a3902a9f1b1f5,55b7c926fdf99b2d22072739,AWAITING REVIEW,2020-11-02 11:06:53.842000,2020-11-02 11:09:13.492000,139.65,24,222,0,100,,6AB555FF,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,Yes
5f9fe85b15ff880252480444,5eb3180b1cfc100f09a7015a,AWAITING REVIEW,2020-11-02 11:07:17.119000,2020-11-02 11:09:02.313000,105.194,20,92,1,100,,6AB555FF,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,Yes
5f9fe85ffe022701aa5d7dad,5cb0d94aff629100171b05b1,AWAITING REVIEW,2020-11-02 11:07:11.237000,2020-11-02 11:09:45.299000,154.062,39,462,5,99,,6AB555FF,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,Yes
5f9fe86d7d35ea020383012e,57c95ec2c6c5ed00013fa343,AWAITING REVIEW,2020-11-02 11:07:25.726000,2020-11-02 11:11:34.650000,248.924,30,199,1,100,,6AB555FF,Sweden,United Kingdom,Other,Swedish,"Norwegian, Spanish, Swedish, English",Sweden,Female,Yes
5f9fe8802644ec02028750db,5f9c0080868a69015227cb6b,AWAITING REVIEW,2020-11-02 11:07:47.817000,2020-11-02 11:09:44.604000,116.787,20,3,0,100,,6AB555FF,United Kingdom,United Kingdom,Part-Time,,English,United Kingdom,Female,Yes
5f9fe897ccb53102af394a54,5f2344d7da440d039a4889d7,AWAITING REVIEW,2020-11-02 11:08:12.052000,2020-11-02 11:09:58.186000,106.134,19,57,0,101,,6AB555FF,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,Yes
5f9fe8bbe7acbf01a796fb55,5f610965f358ec05e6e10d7a,AWAITING REVIEW,2020-11-02 11:08:45.788000,2020-11-02 11:12:11.817000,206.029,21,33,0,100,,6AB555FF,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,English,United Kingdom,Female,Yes
5f9fe8d5ff800902b4711630,5f9c3084b4af1c085fff54b7,AWAITING REVIEW,2020-11-02 11:09:15.732000,2020-11-02 11:11:28.459000,132.727,19,1,0,100,,6AB555FF,United Kingdom,United Kingdom,Other,,English,United Kingdom,Female,Yes
5f9fe8d6dd97bb024f3328c1,5c6e992b9d7a31000146fd95,AWAITING REVIEW,2020-11-02 11:09:14.370000,2020-11-02 11:13:00.433000,226.063,28,220,5,97,,6AB555FF,Italy,United Kingdom,Part-Time,Italian,"Italian, English",Italy,Female,Yes
5f9fe8f2da0144030d043eb5,5f96ecc8373a81020c60b7de,AWAITING REVIEW,2020-11-02 11:09:42.829000,2020-11-02 11:14:00.968000,258.139,21,3,0,100,,6AB555FF,United Kingdom,United Kingdom,Part-Time,,English,United Kingdom,Female,Yes
5f9fe8f5575c4202550116e1,58505d5b89f4a8000152bf2f,AWAITING REVIEW,2020-11-02 11:10:00.996000,2020-11-02 11:12:34.339000,153.343,38,103,0,100,,6AB555FF,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,Yes
5f9fe8fe35235402a92b9ab1,5c8119441c40f30001b464b1,AWAITING REVIEW,2020-11-02 11:09:54.745000,2020-11-02 11:11:52.655000,117.91,23,165,1,100,,6AB555FF,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Male,Yes
5f9fe9017a75ff01f93dde95,5a8c508bf1408d000176bb58,AWAITING REVIEW,2020-11-02 11:09:58.793000,2020-11-02 11:15:12.569000,313.776,25,41,1,100,,6AB555FF,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,Yes
5f9fe90b30876902a7d323ed,5db853720f6ebd000ba94ed8,AWAITING REVIEW,2020-11-02 11:10:07.776000,2020-11-02 11:12:36.778000,149.002,27,102,0,100,,6AB555FF,United Kingdom,United Kingdom,Unemployed (and job seeking),English,English,United Kingdom,Female,Yes
5f9fe927ca4dfa0255cc4667,5ece2f54b53e7d1af98b011c,AWAITING REVIEW,2020-11-02 11:10:43.969000,2020-11-02 11:13:54.675000,190.706,29,125,1,100,,6AB555FF,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,Yes
5f9fe93101a9a502527464e2,5e5f715ddcec7b2acb5bba54,AWAITING REVIEW,2020-11-02 11:10:44.132000,2020-11-02 11:14:11.035000,206.903,24,200,0,100,,6AB555FF,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,Yes
5f9fe938921b9001ab7f9edb,5cb0a3f60672270001bf53e8,AWAITING REVIEW,2020-11-02 11:10:48.907000,2020-11-02 11:13:12.958000,144.051,24,169,1,100,,6AB555FF,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,Yes
5f9fe940d409c6025024e8fc,5e428c10862600119b1bf307,AWAITING REVIEW,2020-11-02 11:11:02.763000,2020-11-02 11:15:13.799000,251.036,37,76,2,97,,6AB555FF,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,Yes
5f9fe956f05dcf02074884cd,5f9d21a3607bcd22252a714c,AWAITING REVIEW,2020-11-02 11:11:21.660000,2020-11-02 11:13:46.803000,145.143,44,3,0,100,,6AB555FF,United Kingdom,United Kingdom,Full-Time,,English,United Kingdom,Female,Yes
5f9fe963846d6002b072adb7,5f68e069c74f3f0775307fc6,AWAITING REVIEW,2020-11-02 11:11:37.819000,2020-11-02 11:13:32.596000,114.777,36,13,0,100,,6AB555FF,United Kingdom,,Full-Time,,English,United Kingdom,Female,Yes
5f9fe9643f3cc901a9329d7e,5f80b0929d9b4412932b3636,AWAITING REVIEW,2020-11-02 11:11:32.028000,2020-11-02 11:13:10.846000,98.818,22,21,0,100,,6AB555FF,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,"English, Urdu",United Kingdom,Male,Yes
5f9fe970ccb531030292401a,5de016f1a63c7b0947c54c6b,AWAITING REVIEW,2020-11-02 11:11:44.195000,2020-11-02 11:17:36.337000,352.142,28,129,2,100,,6AB555FF,Russian Federation,United Kingdom,Other,Greek,"English, Russian, Greek",Greece,Female,Yes
5f9fe97794684401ac746afe,5d4d73167ec86f001a21fd79,AWAITING REVIEW,2020-11-02 11:11:56.188000,2020-11-02 11:17:08.757000,312.569,19,66,0,100,,6AB555FF,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,Yes
5f9fe978d46e0502549a542d,5f0c7207bc55e4415099f61c,AWAITING REVIEW,2020-11-02 11:11:55.167000,2020-11-02 11:14:04.894000,129.727,18,31,1,100,,6AB555FF,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,Yes
5f9fe97c960bad01abaa1950,5f2e589cdc868c1c082465f4,AWAITING REVIEW,2020-11-02 11:11:56.694000,2020-11-02 11:13:56.903000,120.209,23,51,1,100,,6AB555FF,United Kingdom,United Kingdom,Other,DATA EXPIRED,English,United Kingdom,Male,Yes
5f9fe97d3e5d530200adfbbd,5adf629ddee8590001b05f7b,AWAITING REVIEW,2020-11-02 11:12:00.071000,2020-11-02 11:16:04.256000,244.185,30,123,1,100,,6AB555FF,Greece,United Kingdom,Full-Time,Greek,English,Greece,Female,Yes
5f9fe998caa28602ab22d75c,5acbd2ea436f550001002904,AWAITING REVIEW,2020-11-02 11:12:27.412000,2020-11-02 11:13:50.595000,83.183,21,225,3,99,,6AB555FF,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Male,Yes
5f9fe99a1c20c002a5befd9f,5f69e100d08cff01c38efba6,AWAITING REVIEW,2020-11-02 11:12:39.375000,2020-11-02 11:15:17.212000,157.837,18,24,0,100,,6AB555FF,United Kingdom,United Kingdom,Part-Time,DATA EXPIRED,English,United Kingdom,Female,Yes
5f9fe9a3755a290200a77dad,5e3c7cf5eaf82406cfd6b815,AWAITING REVIEW,2020-11-02 11:12:45.494000,2020-11-02 11:15:00.182000,134.688,55,148,0,100,,6AB555FF,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,Yes
5f9fe9bc3d9d4801a798922c,5dbe0fff15de0132ac0e6d1e,AWAITING REVIEW,2020-11-02 11:13:03.471000,2020-11-02 11:15:07.264000,123.793,24,231,1,100,,6AB555FF,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,Yes
5f9fe9c1f48f1d03042204fb,5f117fa39bca135207d424d3,AWAITING REVIEW,2020-11-02 11:13:08.256000,2020-11-02 11:17:22.745000,254.489,21,47,1,99,,6AB555FF,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,Yes
5f9fe9c8611ac60256cbd844,5e724d9eafe9d90680b0766a,AWAITING REVIEW,2020-11-02 11:13:21.833000,2020-11-02 11:17:35.422000,253.589,18,21,1,99,,6AB555FF,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,Yes
